id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	1845.10000000	100.00000000	mua	86.87800598	24	0.00000000	46.07007707		133430	0
1	1773.80000000	100.00000000	mua	84.02301025	8	50.00000000	16.97096926		49152	0
2	2553.60000000	100.00000000	good	79.28920746	8	50.00000000	4.32042925		12513	0
3	1952.40000000	100.00000000	mua	76.04911804	26	100.00000000	12.80660443	good	37091	0
5	1655.20000000	100.00000000	mua	74.72270966	26	100.00000000	6.53606055		18930	0
9	1981.10000000	100.00000000	mua	89.11775970	8	50.00000000	16.25037980		47065	0
11	2858.20000000	100.00000000	good	89.65490723	26	100.00000000	8.49791454		24612	0
12	4729.00000000	100.00000000	mua	99.21474457	10	150.00000000	1.20397481	good	3487	0
13	2166.20000000	100.00000000	good	65.88293457	10	150.00000000	1.69219402		4901	0
16	1822.10000000	100.00000000	mua	85.51165771	10	150.00000000	5.53510759		16031	0
17	1918.70000000	100.00000000	mua	72.17362976	15	200.00000000	24.43547496		70771	0
18	1814.60000000	100.00000000	good	60.63091278	27	250.00000000	1.37523133		3983	0
20	2409.60000000	100.00000000	mua	80.18579102	15	200.00000000	7.07158247	good	20481	0
21	1754.10000000	100.00000000	good	65.38232422	15	200.00000000	2.69763556		7813	0
22	1788.30000000	100.00000000	good	65.49311829	27	250.00000000	1.69392039		4906	0
23	2609.30000000	100.00000000	mua	114.09547424	27	250.00000000	1.60829213		4658	0
24	1590.20000000	100.00000000	mua	57.12748718	27	250.00000000	0.03694445		107	0
25	1395.00000000	100.00000000	mua	64.77528381	27	250.00000000	4.98819159		14447	0
30	1655.00000000	100.00000000	mua	69.74877167	9	300.00000000	10.90689998		31589	0
32	3710.30000000	100.00000000	good	78.47163391	13	350.00000000	5.11456233		14813	0
35	1586.40000000	100.00000000	good	68.68487549	13	350.00000000	3.50730602		10158	0
37	1517.10000000	100.00000000	mua	69.32157135	13	350.00000000	8.47443582		24544	0
38	1997.90000000	100.00000000	mua	89.22426605	13	350.00000000	6.43524017		18638	0
39	2229.80000000	100.00000000	mua	68.60858917	29	400.00000000	0.04419523	noise	128	0
40	1835.70000000	100.00000000	mua	89.74730682	29	400.00000000	15.03293926	good	43539	0
42	2065.60000000	100.00000000	mua	83.24701691	29	400.00000000	8.55350385		24773	0
43	4505.40000000	100.00000000	good	93.57040405	25	450.00000000	2.30816507		6685	0
44	1733.90000000	100.00000000	mua	75.77258301	25	450.00000000	1.96806894		5700	0
45	1483.80000000	100.00000000	mua	53.45505524	12	500.00000000	0.05248184		152	0
46	1452.10000000	100.00000000	mua	63.73629379	12	500.00000000	2.26673204		6565	0
47	1319.80000000	100.00000000	mua	54.10118103	28	600.00000000	4.99440654		14465	0
48	2540.80000000	100.00000000	mua	115.11086273	30	550.00000000	5.87865646		17026	0
52	3701.90000000	100.00000000	good	101.53204346	8	50.00000000	2.63410491		7629	0
55	2200.50000000	100.00000000	mua	71.45664978	8	50.00000000	0.03728973		108	0
56	2377.50000000	100.00000000	mua	108.87826538	8	50.00000000	1.59206419		4611	0
57	2227.90000000	100.00000000	mua	74.01102448	8	50.00000000	0.08286606		240	0
58	1880.60000000	100.00000000	mua	74.76333618	8	50.00000000	0.04695743		136	0
59	1896.40000000	100.00000000	mua	91.01620483	8	50.00000000	6.57542193		19044	0
60	2658.80000000	100.00000000	good	122.98741150	26	100.00000000	5.63005828		16306	0
62	2139.60000000	100.00000000	good	66.94358063	5	125.00000000	1.01994310		2954	0
63	2227.50000000	100.00000000	mua	87.70420074	26	100.00000000	0.04419523		128	0
65	1300.20000000	100.00000000	good	61.13162231	10	150.00000000	8.25898406		23920	0
67	1648.90000000	100.00000000	mua	77.65109253	10	150.00000000	2.56988371		7443	0
70	3014.50000000	100.00000000	good	114.44043732	10	150.00000000	2.42797558		7032	0
71	1605.30000000	100.00000000	good	65.04987335	15	200.00000000	1.42460570		4126	0
76	1432.80000000	100.00000000	good	64.25440216	15	200.00000000	0.20129547		583	0
77	1926.70000000	100.00000000	mua	91.45823669	15	200.00000000	1.02270530		2962	0
78	1634.90000000	100.00000000	mua	79.07931519	10	150.00000000	1.37039748		3969	0
79	3084.30000000	100.00000000	mua	106.63845825	15	200.00000000	0.64152142	good	1858	0
80	2377.40000000	100.00000000	good	91.27483368	15	200.00000000	0.82486258		2389	0
82	2026.70000000	100.00000000	mua	88.02708435	27	250.00000000	5.34417037		15478	0
83	1845.60000000	100.00000000	good	83.34807587	15	200.00000000	0.48856448	noise	1415	0
87	2705.70000000	100.00000000	good	90.70952606	27	250.00000000	3.12301467		9045	0
88	1769.60000000	100.00000000	mua	77.51281738	9	300.00000000	7.77767036	good	22526	0
89	1572.50000000	100.00000000	good	73.68028259	9	300.00000000	25.31005718		73304	0
90	1699.30000000	100.00000000	mua	79.27500916	9	300.00000000	4.68538519		13570	0
92	2462.40000000	100.00000000	good	69.15340424	9	300.00000000	0.75200950		2178	0
94	2499.20000000	100.00000000	good	75.83900452	13	350.00000000	1.20673701		3495	0
95	1395.70000000	100.00000000	mua	59.15322113	9	300.00000000	1.32551170		3839	0
96	2025.30000000	100.00000000	mua	88.45811462	13	350.00000000	4.44507361		12874	0
97	2440.00000000	100.00000000	good	77.81950378	13	350.00000000	0.46370467		1343	0
99	2648.00000000	100.00000000	mua	105.68385315	4	325.00000000	0.06767395		196	0
100	2661.40000000	100.00000000	mua	112.42556763	13	350.00000000	0.83970942		2432	0
101	1871.30000000	100.00000000	mua	83.41761017	29	400.00000000	3.78214513		10954	0
102	2914.90000000	100.00000000	mua	67.21126556	29	400.00000000	0.03970665		115	0
103	2409.40000000	100.00000000	good	83.86521912	29	400.00000000	0.04315941		125	0
105	2198.30000000	100.00000000	mua	93.09745789	29	400.00000000	3.13475403		9079	0
107	1766.80000000	100.00000000	good	67.63718414	12	500.00000000	0.45610861		1321	0
108	1465.50000000	100.00000000	mua	58.16374969	12	500.00000000	0.07734166		224	0
109	2494.80000000	100.00000000	mua	102.47273254	25	450.00000000	0.04005193		116	0
110	2437.20000000	100.00000000	mua	101.13245392	25	450.00000000	0.04281413		124	0
111	1242.30000000	100.00000000	mua	53.74273682	25	450.00000000	2.56125183		7418	0
112	2367.40000000	100.00000000	mua	114.36608124	12	500.00000000	21.90978648	good	63456	0
113	1540.50000000	100.00000000	mua	61.62115097	28	600.00000000	0.29348397		850	0
114	1574.30000000	100.00000000	mua	67.99702454	30	550.00000000	2.50324559		7250	0
116	2385.60000000	100.00000000	good	82.59563446	14	650.00000000	2.89651410		8389	0
117	2343.50000000	100.00000000	good	86.64627075	14	650.00000000	2.26224346		6552	0
118	1201.20000000	100.00000000	mua	46.89473724	22	625.00000000	1.76366599		5108	0
119	3685.60000000	100.00000000	good	111.77368164	28	600.00000000	0.31834378		922	0
120	1477.40000000	100.00000000	mua	64.68771362	28	600.00000000	3.08399856		8932	0
122	1176.90000000	100.00000000	mua	45.93903351	11	700.00000000	1.80061045		5215	0
123	1393.70000000	100.00000000	good	52.91574860	14	650.00000000	0.12015579		348	0
124	1089.90000000	100.00000000	good	39.34806824	14	650.00000000	0.17298290	mua	501	0
125	1226.70000000	100.00000000	mua	53.93769455	14	650.00000000	3.78766953		10970	0
126	1155.80000000	100.00000000	mua	49.35366440	11	700.00000000	4.93847195		14303	0
127	1471.30000000	100.00000000	mua	69.66111755	7	25.00000000	15.28533547		44270	0
130	1376.00000000	100.00000000	mua	62.26325226	23	75.00000000	3.31360661		9597	0
131	3137.90000000	100.00000000	good	73.33848572	5	125.00000000	0.44022595		1275	0
132	2360.10000000	100.00000000	mua	92.45223999	23	75.00000000	0.51480540	good	1491	0
134	1570.40000000	100.00000000	mua	73.95829773	5	125.00000000	0.96469906		2794	0
135	2778.60000000	100.00000000	good	69.66622162	21	175.00000000	4.48201806		12981	0
136	1105.50000000	100.00000000	mua	47.94104004	21	175.00000000	2.22288208		6438	0
143	1054.40000000	100.00000000	mua	46.26049805	15	200.00000000	1.20466536		3489	0
149	1633.00000000	100.00000000	mua	69.87998962	17	275.00000000	2.33095324		6751	0
152	2543.70000000	100.00000000	good	82.01484680	4	325.00000000	2.68520565		7777	0
153	2667.90000000	100.00000000	mua	89.39659119	4	325.00000000	0.06974560		202	0
155	2252.00000000	100.00000000	good	76.47886658	4	325.00000000	0.28830484		835	0
158	1854.90000000	100.00000000	mua	72.38554382	13	350.00000000	0.03867083		112	0
159	2268.80000000	100.00000000	mua	72.87485504	17	275.00000000	0.05317239		154	0
160	1205.90000000	100.00000000	good	54.47535324	17	275.00000000	1.45844267		4224	0
161	1658.30000000	100.00000000	mua	64.84925079	13	350.00000000	0.07216253		209	0
162	1874.80000000	100.00000000	mua	61.16433334	17	275.00000000	0.03556335		103	0
163	1785.60000000	100.00000000	mua	71.03164673	4	325.00000000	0.04868381		141	0
164	1620.40000000	100.00000000	mua	70.31597900	4	325.00000000	1.71981604		4981	0
165	1969.10000000	100.00000000	mua	75.51966095	3	375.00000000	0.55692898		1613	0
166	2167.20000000	100.00000000	mua	92.29698181	3	375.00000000	22.36313289	good	64769	0
167	1804.70000000	100.00000000	mua	58.87103653	29	400.00000000	1.36280143	good	3947	0
168	2105.30000000	100.00000000	good	73.69296265	25	450.00000000	2.85059249		8256	0
169	1622.80000000	100.00000000	mua	61.46633530	20	425.00000000	0.03556335		103	0
170	1638.10000000	100.00000000	mua	61.79849243	20	425.00000000	0.05282711		153	0
171	1319.70000000	100.00000000	mua	53.32522583	20	425.00000000	0.05455349		158	0
172	1521.80000000	100.00000000	mua	61.36495209	20	425.00000000	0.07457945		216	0
